Smiles,Tg/℃
[*]C1=CC(C2=CC=CC=C2)=C2C=C(OC3=CC4=C(C=C(N=C4C=C3)C3=CC=C(C=C3)C3=CC=C([*])C=C3)C3=CC=CC=C3)C=CC2=N1,307.85
[*]C1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(C=C1)C(=O)OC1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(C=C1)OC(=O)[*],309.85
[*]N1C(=O)C2=CC=C(C=C2C1(=O))C(C(F)(F)F)(C(F)(F)F)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)C(=O)C1=CC=C(C=C1)[*],310.85
[*]C1=CN=C2C=CC(=CC2=N1)C(=O)C1=CC=C2N=CC(=NC2=C1)C1=CC=C(C=C1)[*],317.85
[*]C1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)OC1=CC=C(C=C1)NC(=O)[*],319.85
[*]C1=NC2=C(C=CC=C2)C(=C1)C1=CC=C(OC2=CC=C(C=C2)C2=CC(=NC3=C2C=CC=C3)C2=CC=C(OC3=CC=C([*])C=C3)C=C2)C=C1,325.85
[*]C(=O)C1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)N[*],326.85
[*]N1C(=O)C2=CC=C(C=C2C1(=O))C(=O)C1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)[*],332.85
[*]C1=CN=C2C=CC(=CC2=N1)S(=O)C1=CC=C2N=CC(=NC2=C1)C1=CC=C(C=C1)[*],341.85
[*]N1C(=O)C2=CC=C(C=C2C1(=O))OC1=CC=C2C(=O)N(C(=O)C2=C1)C1=CC=C(C=C1)[*],341.85
[*]C1=C(C2=CC=CC=C2)C(C2=CC=CC=C2)=C2C=C(OC3=CC4=C(C5=CC=CC=C5)C(C5=CC=CC=C5)=C(N=C4C=C3)C3=CC=C([*])C=C3)C=CC2=N1,344.85
[*]C1=NC2=C(C=CC=C2)C(C2=CC=C(OC3=CC=C(C=C3)C3=C(C4=CC=CC=C4)C(=NC4=C3C=CC=C4)C3=CC=C(OC4=CC=C([*])C=C4)C=C3)C=C2)=C1C1=CC=CC=C1,344.85
[*]C1=C(C2=CC=CC=C2)C(C2=CC=CC=C2)=C2C=C(OC3=CC4=C(C5=CC=CC=C5)C(C5=CC=CC=C5)=C(N=C4C=C3)C3=CC=C(C=C3)C3=CC=C([*])C=C3)C=CC2=N1,350.85
[*]C1=CN=C2C=C3N=CC(=NC3=CC2=N1)C1=CC=C(C=C1)OC1=CC=C(C=C1)[*],352.85
[*]C1=C(N=C2C=CC(=CC2=N1)C1=CC=C2N=C(C3=CC=CC=C3)C(=NC2=C1)C1=CC=C([*])C=C1)C1=CC=CC=C1,371.85
[*]C1=CN=C2C=CC(=CC2=N1)C1=CC=C2N=CC(=NC2=C1)C1=CC=C(C=C1)[*],375.85
[*]C1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(C=C1)NC(=O)[*],384.85
[*]C3=C(N=C2C=C1N=C(C(=NC1=CC2=N3)C4=CC=C(C=C4)[*])C5=CC=CC=C5)C6=CC=CC=C6,394.85
[*]C3=C(N=C2C=C1N=C(C(=NC1=CC2=N3)C4=CC(=CC=C4)[*])C5=CC=CC=C5)C6=CC=CC=C6,394.85
[*]C1=CC=C(C=C1)N5C(=O)C4=CC2=C(C(N(C2=O)C3=CC=C(C=C3)O[*])=O)C=C4C5=O,398.85
[*]C1=CC=C(C=C1)C1(OC(=O)C2=CC=CC=C12)C1=CC=C(C=C1)C(=O)NC1=CC=C(C=C1)C1(NC(=O)C2=CC=CC=C12)C1=CC=C(C=C1)NC(=O)[*],399.85
[*]C1=CC=C(C=C1)N5C(=O)C4=CC2=C(C(N(C2=O)C3=CC=C(C=C3)C([*])=O)=O)C=C4C5=O,411.85
,
